 Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect
 Philadelphia Running,"Sun, Nov 20, 2016 7:00 AM",3:07:15,26.27,529,7:08,3:04,151,200,"2,113",--,--,--,--,--,--
 Chalfont Running,"Sat, Nov 19, 2016 4:48 PM",25:16:00,3,145,8:25,6:16,124,144,329,--,--,--,--,--,--
 Chalfont Running,"Fri, Nov 18, 2016 5:22 PM",42:10:00,5,238,8:26,7:07,133,148,554,--,--,--,--,--,--
 Chalfont Running,"Thu, Nov 17, 2016 6:01 AM",50:42:00,7,276,7:14,4:52,145,195,762,--,--,--,--,--,--
 Chalfont Running,"Wed, Nov 16, 2016 12:07 PM",38:49:00,5.01,140,7:45,6:21,135,164,536,--,--,--,--,--,--
 Chalfont Running,"Tue, Nov 15, 2016 5:55 AM",58:14:00,8,334,7:17,5:41,145,162,853,--,--,--,--,--,--
 Running,"Mon, Nov 14, 2016 5:11 PM",16:19,2.06,--,7:55,6:59,70,118,64,--,--,--,--,--,--
 Chalfont Running,"Sun, Nov 13, 2016 10:42 AM",1:24:46,12,467,7:04,5:16,145,158,"1,246",--,--,--,--,--,--
 Chalfont Running,"Sat, Nov 12, 2016 12:47 PM",49:54:00,7,254,7:08,6:07,144,154,736,--,--,--,--,--,--
 Chalfont Running,"Fri, Nov 11, 2016 5:55 AM",57:19:00,8.01,280,7:09,4:59,148,167,852,--,--,--,--,--,--
 Running,"Thu, Nov 10, 2016 5:15 PM",37:11:00,5,--,7:26,5:33,121,138,376,--,--,--,--,--,--
 Chalfont Running,"Wed, Nov 9, 2016 4:32 PM",45:30:00,6.01,241,7:35,6:00,135,160,653,--,--,--,--,--,--
 Chalfont Running,"Tue, Nov 8, 2016 4:48 PM",52:18:00,7,307,7:28,5:51,140,154,742,--,--,--,--,--,--
 Running,"Mon, Nov 7, 2016 4:56 PM",30:41:00,4.01,--,7:40,6:14,122,139,319,--,--,--,--,--,--
 Chalfont Running,"Sun, Nov 6, 2016 10:01 AM",1:59:07,17.01,618,7:00,5:18,149,199,"1,607",--,--,--,--,--,--
 Chalfont Running,"Sat, Nov 5, 2016 10:19 AM",1:02:08,9.01,143,6:54,5:09,150,189,927,--,--,--,--,--,--
 Chalfont Running,"Fri, Nov 4, 2016 6:03 PM",51:08:00,6.51,289,7:52,6:24,138,173,679,--,--,--,--,--,--
 Chalfont Running,"Thu, Nov 3, 2016 4:55 PM",50:54:00,6.52,224,7:49,6:16,136,149,672,--,--,--,--,--,--
 Chalfont Running,"Wed, Nov 2, 2016 5:11 AM",1:46:49,14.01,539,7:38,5:59,143,192,"1,312",--,--,--,--,--,--
 Chalfont Running,"Tue, Nov 1, 2016 4:27 PM",1:13:46,10.01,332,7:22,4:52,144,170,965,--,--,--,--,--,--
 ,,,,,,,,,,,,,,,
